"chromosomeI"	"fragmentI"	"chromosomeJ"	"fragmentJ"	"pvalue"
"chr18"	1200000	"chr18"	1500000	0.575745087582112
"chr18"	1200000	"chr18"	1550000	0.463281723336898
"chr18"	1200000	"chr18"	1600000	0.392041936550245
"chr18"	1200000	"chr18"	1650000	0.184947338974586
"chr18"	1200000	"chr18"	1700000	0.391475890271086
"chr18"	1200000	"chr18"	1750000	0.40260526699623
"chr18"	1200000	"chr18"	1800000	0.215644960117553
"chr18"	1250000	"chr18"	1300000	0.890394893221768
"chr18"	1250000	"chr18"	1350000	0.902595024181427
"chr18"	1250000	"chr18"	1400000	0.621520425062332
"chr18"	1250000	"chr18"	1450000	0.781110422524234
"chr18"	1250000	"chr18"	1500000	0.629237906024499
"chr18"	1250000	"chr18"	1550000	0.572802929257438
"chr18"	1250000	"chr18"	1600000	0.735352586484474
"chr18"	1250000	"chr18"	1650000	0.381731128056565
"chr18"	1250000	"chr18"	1700000	0.888543024034806
"chr18"	1250000	"chr18"	1750000	0.436748887824284
"chr18"	1250000	"chr18"	1800000	0.393987209694072
"chr18"	1250000	"chr18"	1850000	0.157939265096092
"chr18"	1300000	"chr18"	1350000	0.955787611378006
"chr18"	1300000	"chr18"	1400000	0.896985952294637
"chr18"	1300000	"chr18"	1450000	0.972608765043774
"chr18"	1300000	"chr18"	1500000	0.841046225450301
"chr18"	1300000	"chr18"	1550000	0.65246466725472
"chr18"	1300000	"chr18"	1600000	0.829375562160421
"chr18"	1300000	"chr18"	1650000	0.673513042243943
"chr18"	1300000	"chr18"	1700000	0.926200019376765
"chr18"	1300000	"chr18"	1750000	0.698392378280023
"chr18"	1300000	"chr18"	1800000	0.715605392294487
"chr18"	1300000	"chr18"	1850000	0.797043894261488
"chr18"	1300000	"chr18"	1900000	0.717779312246278
"chr18"	1350000	"chr18"	1400000	0.610645308362252
"chr18"	1350000	"chr18"	1450000	0.942937071971841
"chr18"	1350000	"chr18"	1500000	0.951214068491597
"chr18"	1350000	"chr18"	1550000	0.726118733516281
"chr18"	1350000	"chr18"	1600000	0.624741109220879
"chr18"	1350000	"chr18"	1650000	0.232304717592806
"chr18"	1350000	"chr18"	1700000	0.589232368513187
"chr18"	1350000	"chr18"	1750000	0.618977230543136
"chr18"	1350000	"chr18"	1800000	0.678732669415269
"chr18"	1350000	"chr18"	1850000	0.26516936252132
"chr18"	1350000	"chr18"	1900000	0.189213838894023
"chr18"	1350000	"chr18"	1950000	0.117810537642715
"chr18"	1400000	"chr18"	1450000	0.863718427907472
"chr18"	1400000	"chr18"	1500000	0.882715385239788
"chr18"	1400000	"chr18"	1550000	0.718771193420181
"chr18"	1400000	"chr18"	1600000	0.668348511595915
"chr18"	1400000	"chr18"	1650000	0.732341376445918
"chr18"	1400000	"chr18"	1700000	0.532102579843468
"chr18"	1400000	"chr18"	1750000	0.574700519812933
"chr18"	1400000	"chr18"	1800000	0.606926811327219
"chr18"	1400000	"chr18"	1850000	0.207811117740856
"chr18"	1400000	"chr18"	1900000	0.192916325191796
"chr18"	1400000	"chr18"	1950000	0.432503135398091
"chr18"	1400000	"chr18"	2000000	0.14761873163338
"chr18"	1450000	"chr18"	1500000	0.849524325589479
"chr18"	1450000	"chr18"	1550000	0.776878639925347
"chr18"	1450000	"chr18"	1600000	0.867027755734437
"chr18"	1450000	"chr18"	1650000	0.67260819823261
"chr18"	1450000	"chr18"	1700000	0.757693076793757
"chr18"	1450000	"chr18"	1750000	0.821145221382762
"chr18"	1450000	"chr18"	1800000	0.504502440548891
"chr18"	1450000	"chr18"	1850000	0.415127575659513
"chr18"	1450000	"chr18"	1900000	0.579763677881465
"chr18"	1450000	"chr18"	1950000	0.402731279164186
"chr18"	1450000	"chr18"	2000000	0.273597820720097
"chr18"	1450000	"chr18"	2050000	0.152889145585243
"chr18"	1500000	"chr18"	1550000	0.870014643420969
"chr18"	1500000	"chr18"	1600000	0.892810237508375
"chr18"	1500000	"chr18"	1650000	0.478553578885025
"chr18"	1500000	"chr18"	1700000	0.770538762879193
"chr18"	1500000	"chr18"	1750000	0.74354094435772
"chr18"	1500000	"chr18"	1800000	0.263990004898265
"chr18"	1500000	"chr18"	1850000	0.445764455285144
"chr18"	1500000	"chr18"	1900000	0.481880305244204
"chr18"	1500000	"chr18"	1950000	0.205059420579249
"chr18"	1500000	"chr18"	2000000	0.280142202678744
"chr18"	1500000	"chr18"	2050000	0.585290466218994
"chr18"	1500000	"chr18"	2100000	0.399203921753291
"chr18"	1550000	"chr18"	1600000	0.696804377414003
"chr18"	1550000	"chr18"	1650000	0.678881017264405
"chr18"	1550000	"chr18"	1700000	0.802996814765483
"chr18"	1550000	"chr18"	1750000	0.462742129404823
"chr18"	1550000	"chr18"	1800000	0.622271694209128
"chr18"	1550000	"chr18"	1850000	0.380521732931129
"chr18"	1550000	"chr18"	1900000	0.565697038963488
"chr18"	1550000	"chr18"	1950000	0.190380726723636
"chr18"	1550000	"chr18"	2000000	0.0929274001222139
"chr18"	1550000	"chr18"	2050000	0.325256936775652
"chr18"	1550000	"chr18"	2100000	0.328473947880261
"chr18"	1550000	"chr18"	2150000	0.479277114157599
"chr18"	1600000	"chr18"	1650000	0.648512190437466
"chr18"	1600000	"chr18"	1700000	0.690813444476977
"chr18"	1600000	"chr18"	1750000	0.710455725228059
"chr18"	1600000	"chr18"	1800000	0.886869976231994
"chr18"	1600000	"chr18"	1850000	0.436413764226552
"chr18"	1600000	"chr18"	1900000	0.578394668521304
"chr18"	1600000	"chr18"	1950000	0.616405927245469
"chr18"	1600000	"chr18"	2000000	0.277567272909385
"chr18"	1600000	"chr18"	2050000	0.402660409076805
"chr18"	1600000	"chr18"	2100000	0.294099479001619
"chr18"	1600000	"chr18"	2150000	0.154688096952204
"chr18"	1600000	"chr18"	2200000	0.48185067079522
"chr18"	1650000	"chr18"	1700000	0.812315839196381
"chr18"	1650000	"chr18"	1750000	0.605968084623633
"chr18"	1650000	"chr18"	1800000	0.782267281178487
"chr18"	1650000	"chr18"	1850000	0.760056277863119
"chr18"	1650000	"chr18"	1900000	0.650136903526243
"chr18"	1650000	"chr18"	1950000	0.279455130816444
"chr18"	1650000	"chr18"	2000000	0.112398292751913
"chr18"	1650000	"chr18"	2050000	0.466359782064105
"chr18"	1650000	"chr18"	2100000	0.342533122598468
"chr18"	1650000	"chr18"	2150000	0.366541708671306
"chr18"	1650000	"chr18"	2200000	0.278896922644785
"chr18"	1650000	"chr18"	2250000	0.733153249730269
"chr18"	1700000	"chr18"	1750000	0.891450555987182
"chr18"	1700000	"chr18"	1800000	0.752758440209354
"chr18"	1700000	"chr18"	1850000	0.902949051418334
"chr18"	1700000	"chr18"	1900000	0.921078166812974
"chr18"	1700000	"chr18"	1950000	0.632779470486914
"chr18"	1700000	"chr18"	2000000	0.415028350696215
"chr18"	1700000	"chr18"	2050000	0.54390114750329
"chr18"	1700000	"chr18"	2100000	0.754907377828368
"chr18"	1700000	"chr18"	2150000	0.605257831818858
"chr18"	1700000	"chr18"	2200000	0.330484057967464
"chr18"	1700000	"chr18"	2250000	0.411931761976915
"chr18"	1700000	"chr18"	2300000	0.327057064247569
"chr18"	1750000	"chr18"	1800000	0.782171571243969
"chr18"	1750000	"chr18"	1850000	0.705185669833382
"chr18"	1750000	"chr18"	1900000	0.903740439644466
"chr18"	1750000	"chr18"	1950000	0.500817448194615
"chr18"	1750000	"chr18"	2000000	0.666487961821358
"chr18"	1750000	"chr18"	2050000	0.487820703146358
"chr18"	1750000	"chr18"	2100000	0.150450038086603
"chr18"	1750000	"chr18"	2150000	0.651635889654412
"chr18"	1750000	"chr18"	2200000	0.79800191837129
"chr18"	1750000	"chr18"	2250000	0.325504461552773
"chr18"	1750000	"chr18"	2300000	0.539869825218897
"chr18"	1750000	"chr18"	2350000	0.273117712263632
"chr18"	1800000	"chr18"	1850000	0.808521011291987
"chr18"	1800000	"chr18"	1900000	0.858796422289949
"chr18"	1800000	"chr18"	1950000	0.621821023986616
"chr18"	1800000	"chr18"	2000000	0.591684898107846
"chr18"	1800000	"chr18"	2050000	0.841662973616988
"chr18"	1800000	"chr18"	2100000	0.544797087611202
"chr18"	1800000	"chr18"	2150000	0.966976486271624
"chr18"	1800000	"chr18"	2200000	0.637877165007922
"chr18"	1800000	"chr18"	2250000	0.899065601825828
"chr18"	1800000	"chr18"	2300000	0.661904569602038
"chr18"	1800000	"chr18"	2350000	0.554622893219772
"chr18"	1800000	"chr18"	2400000	0.611036746898252
"chr18"	1850000	"chr18"	1900000	0.798539723527743
"chr18"	1850000	"chr18"	1950000	0.79140067276787
"chr18"	1850000	"chr18"	2000000	0.674796236713065
"chr18"	1850000	"chr18"	2050000	0.736095869715478
"chr18"	1850000	"chr18"	2100000	0.577802216389621
"chr18"	1850000	"chr18"	2150000	0.390134550415931
"chr18"	1850000	"chr18"	2200000	0.703049700079246
"chr18"	1850000	"chr18"	2250000	0.781098223528281
"chr18"	1850000	"chr18"	2300000	0.227304280313855
"chr18"	1850000	"chr18"	2350000	0.483724030823703
"chr18"	1850000	"chr18"	2400000	0.666150024635998
"chr18"	1850000	"chr18"	2450000	0.584750964655552
"chr18"	1900000	"chr18"	1950000	0.708623968786374
"chr18"	1900000	"chr18"	2000000	0.858195890148497
"chr18"	1900000	"chr18"	2050000	0.835739421009381
"chr18"	1900000	"chr18"	2100000	0.71315791989575
"chr18"	1900000	"chr18"	2150000	0.776525442995179
"chr18"	1900000	"chr18"	2200000	0.730057220530978
"chr18"	1900000	"chr18"	2250000	0.733957670273896
"chr18"	1900000	"chr18"	2300000	0.859801917170583
"chr18"	1900000	"chr18"	2350000	0.511374259407213
"chr18"	1900000	"chr18"	2400000	0.489977676691216
"chr18"	1900000	"chr18"	2450000	0.777520900222124
"chr18"	1900000	"chr18"	2500000	0.479374144461359
"chr18"	1950000	"chr18"	2000000	0.656555024005279
"chr18"	1950000	"chr18"	2050000	0.766997407861455
"chr18"	1950000	"chr18"	2100000	0.67831365881428
"chr18"	1950000	"chr18"	2150000	0.789401364684883
"chr18"	1950000	"chr18"	2200000	0.49022448408019
"chr18"	1950000	"chr18"	2250000	0.734587397145058
"chr18"	1950000	"chr18"	2300000	0.598101619932292
"chr18"	1950000	"chr18"	2350000	0.667187907610552
"chr18"	1950000	"chr18"	2400000	0.307266695556248
"chr18"	1950000	"chr18"	2450000	0.55816685701334
"chr18"	1950000	"chr18"	2500000	0.460573920736648
"chr18"	1950000	"chr18"	2550000	0.723775652956528
"chr18"	2000000	"chr18"	2050000	0.841354183208071
"chr18"	2000000	"chr18"	2100000	0.642161798979849
"chr18"	2000000	"chr18"	2150000	0.740100798416028
"chr18"	2000000	"chr18"	2200000	0.5367974468057
"chr18"	2000000	"chr18"	2250000	0.606923340105373
"chr18"	2000000	"chr18"	2300000	0.395936287272115
"chr18"	2000000	"chr18"	2350000	0.389939527072857
"chr18"	2000000	"chr18"	2400000	0.364639593360568
"chr18"	2000000	"chr18"	2450000	0.251833929285495
"chr18"	2000000	"chr18"	2500000	0.0920801361930287
"chr18"	2000000	"chr18"	2550000	0.0174494380249758
"chr18"	2000000	"chr18"	2600000	0.85651941668441
"chr18"	2050000	"chr18"	2100000	0.553116932625836
"chr18"	2050000	"chr18"	2150000	0.757856787202019
"chr18"	2050000	"chr18"	2200000	0.62848962831939
"chr18"	2050000	"chr18"	2250000	0.819020651854006
"chr18"	2050000	"chr18"	2300000	0.388264022735921
"chr18"	2050000	"chr18"	2350000	0.311850594280349
"chr18"	2050000	"chr18"	2400000	0.190378824558219
"chr18"	2050000	"chr18"	2450000	0.409247554139319
"chr18"	2050000	"chr18"	2500000	0.141147202311083
"chr18"	2050000	"chr18"	2550000	0.369591083237687
"chr18"	2050000	"chr18"	2600000	0.782224305384476
"chr18"	2050000	"chr18"	2650000	0.782881382568278
"chr18"	2100000	"chr18"	2150000	0.630084251826832
"chr18"	2100000	"chr18"	2200000	0.678845859905701
"chr18"	2100000	"chr18"	2250000	0.796696500803814
"chr18"	2100000	"chr18"	2300000	0.438985344637623
"chr18"	2100000	"chr18"	2350000	0.409477952460025
"chr18"	2100000	"chr18"	2400000	0.148154406473825
"chr18"	2100000	"chr18"	2450000	0.128728757008228
"chr18"	2100000	"chr18"	2500000	0.035392116792766
"chr18"	2100000	"chr18"	2550000	0.301403518322506
